split,class,filename,width,height,source_repository,source_path,declared_repository_license
train,bottle,train/bottle/01.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142411_BURST093_jpg.rf.93e25c8e78cec2088bf4326c6197b85f.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,bottle,train/bottle/02.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142411_BURST093_jpg.rf.969a3e993bacd4e024bf07f41f404c5d.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,bottle,train/bottle/03.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142411_BURST093_jpg.rf.9a4607e6e99ae6a18cb8da2e7f686a84.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,bottle,train/bottle/04.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142411_BURST097_jpg.rf.865b3ad4f6ecc013c921c8d08157cb7b.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,bottle,train/bottle/05.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142411_BURST097_jpg.rf.88d2b1fbf7cdcab8854b272726a5c4df.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,bottle,train/bottle/06.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142411_BURST097_jpg.rf.c27b3a5b5708bb18ce57050297c4fed4.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,bottle,train/bottle/07.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142427_BURST091_jpg.rf.954abb844e3e9fb2930eac9e802d3dce.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,bottle,train/bottle/08.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142427_BURST091_jpg.rf.b2cfe1c3143ff84fbfbbdf700376d089.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,bottle,train/bottle/09.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142427_BURST091_jpg.rf.f9216e4faac87d37f56d7aa424db4694.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,bottle,train/bottle/10.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142427_BURST099_jpg.rf.1174cdb96d87dd5cc1ae7bd297deb665.jpg,UNSPECIFIED_UPSTREAM_LICENSE
